id,airline,destination,phone
1842,TURKISH AIRLINES,ISTANBUL,858 990 5153
1844,TURKISH AIRLINES,ISTANBUL,731-813-2043
1840,TURKISH AIRLINES,ISTANBUL,563-732-6802
1837,TURKISH AIRLINES,ISTANBUL,145 725 4021
1833,TURKISH AIRLINES,ISTANBUL,931 311 5801
3010,AMERICAN,MIAMI,(637) 782-6989
1838,TURKISH AIRLINES,ISTANBUL,172 990 3485
1845,TURKISH AIRLINES,ISTANBUL,872 325 4341
2097,UNITED INTL,MEXICO CITY,(359) 803-9809
1846,TURKISH AIRLINES,ISTANBUL,152 790 8238
1831,TURKISH AIRLINES,ISTANBUL,330 561 9257
1848,TURKISH AIRLINES,ISTANBUL,437 420 7546
1841,TURKISH AIRLINES,ISTANBUL,495 632 4027
1835,TURKISH AIRLINES,ISTANBUL,(416) 788-2844
1849,TURKISH AIRLINES,ISTANBUL,311-305-4367
2289,QANTAS,SYDNEY,817-400-0481
977,LUFTHANSA,MUNICH,430 723 1079
105,UNITED,WASHINGTON DC-DULLES,(729) 609-4819
1973,CATHAY PACIFIC,HONG KONG,(201) 737-4409
2385,UNITED INTL,SYDNEY,(137) 611-3694
3209,UNITED,SANTA BARBARA,226 490 8696
1794,ALASKA,RALEIGH-DURHAM,123 570 8640
278,UNITED,BALTIMORE,665 803 2453
517,UNITED,FT. LAUDERDALE,(812) 869-6263
1265,CATHAY PACIFIC,HONG KONG,639 132 6386
2885,EVA AIR,TAIPEI,(194) 198-0504
2457,UNITED,CHICAGO-O'HARE,437 886 0753
3198,UNITED,ONTARIO (CALIF),626 756 5089
2128,FRONTIER,DENVER,(299) 137-6993
2199,SOUTHWEST,LAS VEGAS,714 950 3364
1376,UNITED INTL,SHANGHAI,653-786-5985
2152,AIR CANADA,VANCOUVER,518 286 5956
621,ALASKA,WASHINGTON DC-DULLES,194 960 2145
4,SOUTHWEST,LOS ANGELES,362-136-1153
1541,AIR CHINA,BEIJING,376-456-0697
2242,WOW,REYKJAVIK,657 832 1189
1039,AIR CANADA,CALGARY,962-918-6117
475,ALASKA,PORTLAND,692 929 3592
2460,ALASKA,SALT LAKE CITY,805-877-3887
2132,FRONTIER,DENVER,(739) 710-2966
1594,SINGAPORE AIRLINES,SINGAPORE,819 732 4132
1536,AIR CHINA,BEIJING,367 221 9710
1582,DELTA,SALT LAKE CITY,361 154 1789
684,CATHAY PACIFIC,HONG KONG,680 488 1182
101,UNITED,WASHINGTON DC-DULLES,928 638 1186
2455,ALASKA,SALT LAKE CITY,588-693-9875
294,UNITED,SAN DIEGO,681-308-7915
1005,AIR CANADA,VANCOUVER,783 647 8490
464,ALASKA,PORTLAND,897 847 0632
1583,UNITED INTL,HONG KONG,150 952 4453
1579,UNITED INTL,HONG KONG,322-884-3020
1269,CATHAY PACIFIC,HONG KONG,176-313-5403
2654,AEROMEXICO,MEXICO CITY,487 109 4196
519,EMIRATES,DUBAI,(477) 182-4689
863,ALASKA,SEATTLE,544 382 8289
1516,INTERJET,GUADALAJARA,781 543 7456
659,UNITED,NEWARK,911 829 6476
656,UNITED,NEWARK,(525) 362-5532
2929,SOUTHWEST,SAN DIEGO,517 986 3426
280,UNITED,BALTIMORE,838 220 5397
2649,SOUTHWEST,DENVER,(687) 887-6766
1500,DELTA,LOS ANGELES,179 163 0902
2450,UNITED,CHICAGO-O'HARE,539 137 8983
3045,AMERICAN,DALLAS-FT. WORTH,733-154-0094
614,ALASKA,NEWARK,639 881 3693
204,AMERICAN,LOS ANGELES,291-830-3017
1049,AIR CANADA,CALGARY,(637) 100-0509
2209,SOUTHWEST,LAS VEGAS,750 520 0167
1471,AVIANCA,SAN SALVADOR,676 485 8963
2296,WOW,REYKJAVIK,135 566 5090
2412,AIR NEW ZEALAND,AUCKLAND,337 260 4996
2407,AIR NEW ZEALAND,AUCKLAND,371 185 2377
1514,INTERJET,GUADALAJARA,280 461 1386
